Experiment;Condition;Run;Sequence;Total;Application
exp1c;control-defaultactionselection;2;1;14294;11516
exp1c;control-defaultactionselection;2;3;14535;11757
exp1c;control-defaultactionselection;2;5;14553;11775
exp1c;experimental;1;1;10079;7661
exp1c;experimental;1;2;10459;8041
exp1c;experimental;1;6;11167;8518
exp1c;experimental;1;9;11571;8864
exp1c;experimental;1;4;10772;8354
exp1c;experimental;1;5;11167;8518
exp1c;experimental;1;3;10772;8354
exp1c;experimental;1;8;11571;8864
exp1c;experimental;1;0;9775;7357
exp1c;experimental;1;7;11571;8864
exp1c;experimental;14;1;9126;6728
exp1c;experimental;14;4;12232;9553
exp1c;experimental;14;9;12762;10083
exp1c;experimental;14;7;12316;9637
exp1c;experimental;14;3;10967;8504
exp1c;experimental;14;2;10623;8160
exp1c;experimental;14;8;12714;10035
exp1c;experimental;14;6;12316;9637
exp1c;experimental;14;0;8588;6242
exp1c;control-defaultactionselection;13;4;14076;11127
exp1c;control-defaultactionselection;13;9;14778;11829
exp1c;control-defaultactionselection;13;0;12609;10132
exp1c;control-defaultactionselection;13;2;12786;10309
exp1c;control-defaultactionselection;13;7;14162;11213
exp1c;control-defaultactionselection;13;5;14158;11209
exp1c;control-defaultactionselection;13;1;12725;10248
exp1c;control-defaultactionselection;13;3;14076;11127
exp1c;control-defaultactionselection;13;6;14158;11209
exp1c;control-defaultactionselection;13;8;14778;11829
exp1c;control-defaultactionselection;34;6;14390;11612
exp1c;control-defaultactionselection;34;8;14511;11733
exp1c;control-defaultactionselection;34;5;14390;11612
exp1c;control-defaultactionselection;34;1;12853;10083
exp1c;control-defaultactionselection;34;0;11374;8956
exp1c;control-defaultactionselection;34;4;13739;10961
exp1c;control-defaultactionselection;34;3;13681;10903
exp1c;control-defaultactionselection;34;9;14511;11733
exp1c;control-defaultactionselection;34;2;12854;10084
exp1c;control-defaultactionselection;34;7;14511;11733
exp1c;experimental;22;2;10598;8175
exp1c;experimental;22;7;11797;9148
exp1c;experimental;22;4;11407;8984
exp1c;experimental;22;6;11797;9148
exp1c;experimental;22;9;12597;9926
exp1c;experimental;22;8;12460;9789
exp1c;control-defaultactionselection;31;5;14157;11379
exp1c;control-defaultactionselection;31;9;14393;11615
exp1c;control-defaultactionselection;31;2;13706;10928
exp1c;control-defaultactionselection;31;1;12598;10172
exp1c;control-defaultactionselection;31;7;14390;11612
exp1c;control-defaultactionselection;31;6;14244;11466
exp1c;control-defaultactionselection;31;3;13819;11041
exp1c;control-defaultactionselection;31;8;14391;11613
exp1c;control-defaultactionselection;31;4;13819;11041
exp1c;control-defaultactionselection;31;0;11671;9253
exp1c;control-customactionselection;26;9;11553;9077
exp1c;control-customactionselection;26;2;9524;7106
exp1c;control-customactionselection;26;0;8366;6025
exp1c;control-customactionselection;26;8;11339;8863
exp1c;control-customactionselection;26;7;11294;8818
exp1c;control-customactionselection;26;1;8833;6492
exp1c;control-customactionselection;26;5;10395;7919
exp1c;control-customactionselection;26;6;11294;8818
exp1c;control-customactionselection;26;3;10114;7638
exp1c;control-customactionselection;26;4;10244;7768
exp1c;control-defaultactionselection;27;9;14785;12007
exp1c;control-defaultactionselection;27;3;13569;11092
exp1c;control-defaultactionselection;27;1;13054;10577
exp1c;control-defaultactionselection;27;7;14784;12006
exp1c;control-defaultactionselection;27;5;14228;11751
exp1c;control-defaultactionselection;27;4;13828;11351
exp1c;control-defaultactionselection;27;0;12325;9848
exp1c;control-defaultactionselection;27;2;13449;10972
exp1c;control-defaultactionselection;27;8;14785;12007
exp1c;control-defaultactionselection;27;6;14556;11778
exp1c;experimental;12;6;10820;8397
exp1c;experimental;12;1;9382;7036
exp1c;experimental;12;7;11275;8852
exp1c;experimental;12;3;10427;8004
exp1c;experimental;12;9;11294;8871
