Experiment;Condition;Run;Sequence;Result
exp1c;control-customactionselection;32;9;0
exp1c;control-customactionselection;32;10;0
exp1c;control-customactionselection;16;1;0
exp1c;control-customactionselection;16;2;0
exp1c;control-customactionselection;16;3;0
exp1c;control-customactionselection;16;4;0
exp1c;control-customactionselection;16;5;0
exp1c;control-customactionselection;16;6;0
exp1c;control-customactionselection;16;7;0
exp1c;control-customactionselection;16;8;0
exp1c;control-customactionselection;16;9;0
exp1c;control-customactionselection;16;10;0
exp1c;experimental;27;1;0
exp1c;experimental;27;2;1
exp1c;experimental;27;3;0
exp1c;experimental;27;4;1
exp1c;experimental;27;5;1
exp1c;experimental;27;6;0
exp1c;experimental;27;7;1
exp1c;experimental;27;8;1
exp1c;experimental;27;9;1
exp1c;experimental;27;10;1
exp1c;plain;3;1;0
exp1c;plain;3;2;0
exp1c;plain;3;3;0
exp1c;plain;3;4;0
exp1c;plain;3;5;0
exp1c;plain;3;6;0
exp1c;plain;3;7;0
exp1c;plain;3;8;0
exp1c;plain;3;9;0
exp1c;plain;3;10;0
exp1c;control-customactionselection;25;1;0
exp1c;control-customactionselection;25;2;0
exp1c;control-customactionselection;25;3;0
exp1c;control-customactionselection;25;4;0
exp1c;control-customactionselection;25;5;0
exp1c;control-customactionselection;25;6;0
exp1c;control-customactionselection;25;7;0
exp1c;control-customactionselection;25;8;0
exp1c;control-customactionselection;25;9;0
exp1c;control-customactionselection;25;10;0
exp1c;experimental;23;1;0
exp1c;experimental;23;2;0
exp1c;experimental;23;3;0
exp1c;experimental;23;4;0
exp1c;experimental;23;5;0
exp1c;experimental;23;6;0
exp1c;experimental;23;7;0
exp1c;experimental;23;8;1
exp1c;experimental;23;9;0
exp1c;experimental;23;10;0
exp1c;control-customactionselection;6;1;0
exp1c;control-customactionselection;6;2;0
exp1c;control-customactionselection;6;3;0
exp1c;control-customactionselection;6;4;0
exp1c;control-customactionselection;6;5;0
exp1c;control-customactionselection;6;6;0
exp1c;control-customactionselection;6;7;0
exp1c;control-customactionselection;6;8;0
exp1c;control-customactionselection;6;9;0
exp1c;control-customactionselection;6;10;0
exp1c;plain;30;1;0
exp1c;plain;30;2;0
exp1c;plain;30;3;0
exp1c;plain;30;4;0
exp1c;plain;30;5;0
exp1c;plain;30;6;0
exp1c;plain;30;7;0
exp1c;plain;30;8;0
exp1c;plain;30;9;0
exp1c;plain;30;10;0
exp1c;control-defaultactionselection;3;1;0
exp1c;control-defaultactionselection;3;2;0
exp1c;control-defaultactionselection;3;3;0
exp1c;control-defaultactionselection;3;4;0
exp1c;control-defaultactionselection;3;5;0
exp1c;control-defaultactionselection;3;6;0
exp1c;control-defaultactionselection;3;7;0
exp1c;control-defaultactionselection;3;8;0
exp1c;control-defaultactionselection;3;9;0
exp1c;control-defaultactionselection;3;10;0
exp1c;control-defaultactionselection;12;1;0
exp1c;control-defaultactionselection;12;2;0
exp1c;control-defaultactionselection;12;3;0
exp1c;control-defaultactionselection;12;4;0
exp1c;control-defaultactionselection;12;5;1
exp1c;control-defaultactionselection;12;6;0
exp1c;control-defaultactionselection;12;7;0
exp1c;control-defaultactionselection;12;8;0
exp1c;control-defaultactionselection;12;9;0
exp1c;control-defaultactionselection;12;10;0
exp1c;control-customactionselection;33;1;0
exp1c;control-customactionselection;33;2;0
exp1c;control-customactionselection;33;3;0
exp1c;control-customactionselection;33;4;0
exp1c;control-customactionselection;33;5;1
exp1c;control-customactionselection;33;6;1
exp1c;control-customactionselection;33;7;0
exp1c;control-customactionselection;33;8;0
exp1c;control-customactionselection;33;9;0
exp1c;control-customactionselection;33;10;0
exp1c;control-defaultactionselection;2;1;0
exp1c;control-defaultactionselection;2;2;0
exp1c;control-defaultactionselection;2;3;0
exp1c;control-defaultactionselection;2;4;0
exp1c;control-defaultactionselection;2;5;0
exp1c;control-defaultactionselection;2;6;0
exp1c;control-defaultactionselection;2;7;1
exp1c;control-defaultactionselection;2;8;1
exp1c;control-defaultactionselection;2;9;0
exp1c;control-defaultactionselection;2;10;0
exp1c;experimental;1;1;0
exp1c;experimental;1;2;0
exp1c;experimental;1;3;0
exp1c;experimental;1;4;0
exp1c;experimental;1;5;0
exp1c;experimental;1;6;1
exp1c;experimental;1;7;1
exp1c;experimental;1;8;0
exp1c;experimental;1;9;1
exp1c;experimental;1;10;0
exp1c;plain;4;1;0
exp1c;plain;4;2;0
exp1c;plain;4;3;0
exp1c;plain;4;4;0
exp1c;plain;4;5;0
exp1c;plain;4;6;0
exp1c;plain;4;7;0
exp1c;plain;4;8;0
exp1c;plain;4;9;0
exp1c;plain;4;10;0
exp1c;plain;31;1;0
exp1c;plain;31;2;0
exp1c;plain;31;3;0
exp1c;plain;31;4;0
exp1c;plain;31;5;0
exp1c;plain;31;6;0
exp1c;plain;31;7;1
exp1c;plain;31;8;0
exp1c;plain;31;9;0
exp1c;plain;31;10;0
exp1c;plain;33;1;0
exp1c;plain;33;2;0
exp1c;plain;33;3;0
exp1c;plain;33;4;0
exp1c;plain;33;5;0
exp1c;plain;33;6;0
exp1c;plain;33;7;0
exp1c;plain;33;8;0
exp1c;plain;33;9;0
exp1c;plain;33;10;0
exp1c;experimental;14;1;0
exp1c;experimental;14;2;0
exp1c;experimental;14;3;0
exp1c;experimental;14;4;0
exp1c;experimental;14;5;1
exp1c;experimental;14;6;1
exp1c;experimental;14;7;0
exp1c;experimental;14;8;0
exp1c;experimental;14;9;0
exp1c;experimental;14;10;1
exp1c;control-defaultactionselection;13;1;0
exp1c;control-defaultactionselection;13;2;0
exp1c;control-defaultactionselection;13;3;0
exp1c;control-defaultactionselection;13;4;0
exp1c;control-defaultactionselection;13;5;0
exp1c;control-defaultactionselection;13;6;0
exp1c;control-defaultactionselection;13;7;0
exp1c;control-defaultactionselection;13;8;0
exp1c;control-defaultactionselection;13;9;0
exp1c;control-defaultactionselection;13;10;0
exp1c;control-defaultactionselection;34;1;0
exp1c;control-defaultactionselection;34;2;0
exp1c;control-defaultactionselection;34;3;0
exp1c;control-defaultactionselection;34;4;0
exp1c;control-defaultactionselection;34;5;0
exp1c;control-defaultactionselection;34;6;0
exp1c;control-defaultactionselection;34;7;0
exp1c;control-defaultactionselection;34;8;0
exp1c;control-defaultactionselection;34;9;0
exp1c;control-defaultactionselection;34;10;0
exp1c;plain;20;1;0
exp1c;plain;20;2;0
exp1c;plain;20;3;0
exp1c;plain;20;4;0
exp1c;plain;20;5;0
exp1c;plain;20;6;1
exp1c;plain;20;7;0
exp1c;plain;20;8;0
exp1c;plain;20;9;0
exp1c;plain;20;10;0
exp1c;plain;28;1;0
exp1c;plain;28;2;0
exp1c;plain;28;3;0
exp1c;plain;28;4;0
exp1c;plain;28;5;0
exp1c;plain;28;6;0
exp1c;plain;28;7;1
exp1c;plain;28;8;0
exp1c;plain;28;9;1
exp1c;plain;28;10;0
exp1c;plain;2;1;0
exp1c;plain;2;2;0
exp1c;plain;2;3;0
exp1c;plain;2;4;0
exp1c;plain;2;5;0
exp1c;plain;2;6;1
exp1c;plain;2;7;0
exp1c;plain;2;8;0
exp1c;plain;2;9;0
exp1c;plain;2;10;0
exp1c;plain;29;1;0
