Experiment;Condition;Run;Sequence;Total;Application
exp1i;control-defaultactionselection;42;5;15887;11549
exp1i;control-defaultactionselection;42;7;15887;11549
exp1i;control-defaultactionselection;42;1;14437;10151
exp1i;control-defaultactionselection;42;9;16031;11693
exp1i;control-defaultactionselection;42;4;15887;11549
exp1i;control-defaultactionselection;34;5;14226;10088
exp1i;control-defaultactionselection;34;2;13958;9834
exp1i;control-defaultactionselection;34;1;13657;9541
exp1i;control-defaultactionselection;34;3;13958;9834
exp1i;control-defaultactionselection;34;7;15160;10980
exp1i;control-defaultactionselection;34;8;15160;10980
exp1i;control-defaultactionselection;34;9;15225;11044
exp1i;control-defaultactionselection;34;4;14093;9969
exp1i;control-defaultactionselection;34;6;14815;10643
exp1i;control-defaultactionselection;34;0;12816;8738
exp1i;control-defaultactionselection;24;3;14187;10018
exp1i;control-defaultactionselection;24;0;13156;9030
exp1i;control-defaultactionselection;24;8;15101;10928
exp1i;control-defaultactionselection;24;9;15143;10970
exp1i;control-defaultactionselection;24;2;14116;9957
exp1i;control-defaultactionselection;24;1;13607;9456
exp1i;control-defaultactionselection;24;6;14322;10149
exp1i;control-defaultactionselection;24;5;14322;10149
exp1i;control-defaultactionselection;24;4;14187;10018
exp1i;control-defaultactionselection;24;7;14865;10692
exp1i;experimental;21;5;15224;10818
exp1i;experimental;21;2;14704;10325
exp1i;experimental;21;9;16057;11519
exp1i;experimental;21;3;15073;10682
exp1i;experimental;21;6;15717;11185
exp1i;experimental;21;7;15908;11376
exp1i;experimental;21;1;14544;10179
exp1i;experimental;21;8;16020;11482
exp1i;experimental;21;0;13262;9005
exp1i;experimental;21;4;15091;10685
exp1i;control-customactionselection;4;5;14192;9967
exp1i;control-customactionselection;4;1;12971;8755
exp1i;control-customactionselection;4;3;13464;9248
exp1i;control-customactionselection;4;7;14346;10121
exp1i;control-customactionselection;4;0;10163;6352
exp1i;control-customactionselection;4;2;13464;9248
exp1i;control-customactionselection;4;8;14348;10123
exp1i;control-customactionselection;4;4;13920;9695
exp1i;control-customactionselection;4;9;14457;10226
exp1i;control-customactionselection;4;6;14192;9967
exp1i;experimental;82;4;15232;10808
exp1i;experimental;82;6;15268;10844
exp1i;experimental;82;9;15491;11067
exp1i;experimental;82;7;15299;10875
exp1i;experimental;82;0;12670;8554
exp1i;experimental;82;8;15337;10913
exp1i;experimental;82;3;15043;10625
exp1i;experimental;82;1;13700;9556
exp1i;experimental;82;5;15232;10808
exp1i;experimental;82;2;13799;9641
exp1i;control-defaultactionselection;6;5;13939;9809
exp1i;control-defaultactionselection;6;6;13939;9809
exp1i;control-defaultactionselection;6;7;15120;10939
exp1i;control-defaultactionselection;6;4;13193;9079
exp1i;control-defaultactionselection;6;0;12884;8804
exp1i;control-defaultactionselection;6;3;11121;7026
exp1i;control-defaultactionselection;6;8;16167;11983
exp1i;control-defaultactionselection;6;9;16309;12125
exp1i;control-defaultactionselection;6;1;13709;9621
exp1i;experimental;26;9;15960;11547
exp1i;experimental;26;7;15771;11373
exp1i;experimental;26;3;14954;10662
exp1i;experimental;26;2;13325;9199
exp1i;experimental;26;6;15548;11150
exp1i;experimental;26;4;15161;10763
exp1i;experimental;26;5;15402;11004
exp1i;experimental;26;0;11905;7791
exp1i;experimental;26;8;15777;11379
exp1i;experimental;26;1;12625;8506
exp1i;control-defaultactionselection;50;1;9932;6073
exp1i;control-defaultactionselection;50;3;1877;1146
exp1i;control-defaultactionselection;50;2;10033;6174
exp1i;control-defaultactionselection;50;5;9188;5266
exp1i;control-defaultactionselection;50;6;11143;7211
exp1i;control-defaultactionselection;50;9;1918;1190
exp1i;control-defaultactionselection;50;4;1927;1199
exp1i;control-defaultactionselection;50;8;11696;7760
exp1i;control-defaultactionselection;50;7;1918;1190
exp1i;control-defaultactionselection;50;0;1952;1206
exp1i;control-customactionselection;18;4;13822;9723
exp1i;control-customactionselection;18;2;12595;8618
exp1i;control-customactionselection;18;0;1881;1150
exp1i;control-customactionselection;18;5;14105;10000
exp1i;control-customactionselection;18;1;12046;8081
exp1i;control-customactionselection;18;6;14105;10000
