Experiment;Condition;Run;Sequence;Result
exp1i;plain;12;7;0
exp1i;plain;12;8;0
exp1i;plain;12;9;0
exp1i;plain;12;10;0
exp1i;control-customactionselection;4;1;0
exp1i;control-customactionselection;4;2;0
exp1i;control-customactionselection;4;3;0
exp1i;control-customactionselection;4;4;0
exp1i;control-customactionselection;4;5;0
exp1i;control-customactionselection;4;6;0
exp1i;control-customactionselection;4;7;0
exp1i;control-customactionselection;4;8;0
exp1i;control-customactionselection;4;9;0
exp1i;control-customactionselection;4;10;0
exp1i;experimental;82;1;0
exp1i;experimental;82;2;0
exp1i;experimental;82;3;0
exp1i;experimental;82;4;0
exp1i;experimental;82;5;0
exp1i;experimental;82;6;0
exp1i;experimental;82;7;0
exp1i;experimental;82;8;0
exp1i;experimental;82;9;0
exp1i;experimental;82;10;0
exp1i;control-defaultactionselection;6;1;0
exp1i;control-defaultactionselection;6;2;0
exp1i;control-defaultactionselection;6;3;1
